relationship_id,source_id,target_id,relationship_type
R_000001,201000171,630000000,801000005
R_000002,201000172,630000000,801000005
R_000003,201000173,720000000,801000004
R_000004,201000173,610000000,801000005
R_000005,201000174,650000000,801000005
R_000006,201000175,630000000,801000005
R_000007,201000176,640000000,801000005
R_000008,201000177,630000000,801000005
R_000009,201000178,720000000,801000004
R_000010,201000178,620000000,801000005
R_000011,201000179,620000000,801000005
R_000012,201000180,610000000,801000005
