concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201000171,Recipe,豆角焖面,豆角焖面 (Recipe),豆角焖面,"[{'term': '豆角braised面', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '豆角闷面', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,3,,,,,,dishes/staple/豆角焖面/豆角焖面.md
201000172,Recipe,凉粉,凉粉 (Recipe),凉粉,[],其他,3,,,,,,dishes/staple/凉粉/凉粉.md
201000173,Recipe,意式肉酱面,意式肉酱面 (Recipe),意式肉酱面,[],荤菜,1,,,,,,dishes/staple/意式肉酱面/意式肉酱面.md
201000174,Recipe,基础牛奶面包,基础牛奶面包 (Recipe),基础牛奶面包,[],其他,5,,,,,,dishes/staple/基础牛奶面包/基础牛奶面包.md
201000175,Recipe,炒凉粉,炒凉粉 (Recipe),炒凉粉,[],其他,3,,,,,,dishes/staple/炒凉粉/炒凉粉.md
201000176,Recipe,中式馅饼,中式馅饼 (Recipe),中式馅饼,[],其他,4,,,,,,dishes/staple/中式馅饼/中式馅饼.md
201000177,Recipe,韩式拌饭,韩式拌饭 (Recipe),韩式拌饭,[],其他,3,,,,,,dishes/staple/韩式拌饭/韩式拌饭.md
201000178,Recipe,电饭煲三文鱼炊饭,电饭煲三文鱼炊饭 (Recipe),电饭煲三文鱼炊饭,[],荤菜,2,,,,,,dishes/staple/电饭煲三文鱼炊饭/电饭煲三文鱼炊饭.md
201000179,Recipe,煮锅蒸米饭,煮锅蒸米饭 (Recipe),煮锅蒸米饭,"[{'term': '煮锅steamed米饭', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '煮锅清蒸米饭', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,2,,,,,,dishes/staple/米饭/煮锅蒸米饭.md
201000180,Recipe,电饭煲蒸米饭,电饭煲蒸米饭 (Recipe),电饭煲蒸米饭,"[{'term': '电饭煲steamed米饭', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '电饭煲清蒸米饭', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,1,,,,,,dishes/staple/米饭/电饭煲蒸米饭.md
