concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201000271,Recipe,蒲烧茄子,蒲烧茄子 (Recipe),蒲烧茄子,"[{'term': '蒲烧紫茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '蒲烧青茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '蒲烧eggplant', 'language': 'en', 'language_code': 'en-US'}]",其他,3,,,,,,dishes/vegetable_dish/蒲烧茄子.md
201000272,Recipe,葱煎豆腐,葱煎豆腐 (Recipe),葱煎豆腐,"[{'term': '葱pan-fried豆腐', 'language': 'en', 'language_code': 'en-US'}, {'term': '葱煎tofu', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '葱煎嫩豆腐', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '葱煎老豆腐', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,3,,,,,,dishes/vegetable_dish/葱煎豆腐.md
201000273,Recipe,酸辣土豆丝,酸辣土豆丝 (Recipe),酸辣土豆丝,"[{'term': '酸辣马铃薯丝', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '酸辣洋芋丝', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '酸辣potato丝', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,2,,,,,,dishes/vegetable_dish/酸辣土豆丝.md
201000274,Recipe,上汤娃娃菜,上汤娃娃菜 (Recipe),上汤娃娃菜,[],其他,3,,,,,,dishes/vegetable_dish/上汤娃娃菜/上汤娃娃菜.md
201000275,Recipe,凉拌莴笋,凉拌莴笋 (Recipe),凉拌莴笋,[],其他,2,,,,,,dishes/vegetable_dish/凉拌莴笋/凉拌莴笋.md
201000276,Recipe,话梅煮毛豆,话梅煮毛豆 (Recipe),话梅煮毛豆,[],其他,2,,,,,,dishes/vegetable_dish/话梅煮毛豆/话梅煮毛豆.md
201000277,Recipe,榄菜肉末四季豆,榄菜肉末四季豆 (Recipe),榄菜肉末四季豆,[],荤菜,3,,,,,,dishes/vegetable_dish/榄菜肉末四季豆/榄菜肉末四季豆.md
201000278,Recipe,西红柿豆腐汤羹,西红柿豆腐汤羹 (Recipe),西红柿豆腐汤羹,"[{'term': '番茄豆腐汤羹', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '西红柿老豆腐汤羹', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '西红柿嫩豆腐汤羹', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'tomato豆腐汤羹', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '西红柿tofu汤羹', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,2,,,,,,dishes/vegetable_dish/西红柿豆腐汤羹/西红柿豆腐汤羹.md
201000279,Recipe,凉拌木耳,凉拌木耳 (Recipe),凉拌木耳,[],其他,2,,,,,,dishes/vegetable_dish/凉拌木耳/凉拌木耳.md
201000280,Recipe,蒸箱鸡蛋羹,蒸箱鸡蛋羹 (Recipe),蒸箱鸡蛋羹,"[{'term': 'steamed箱鸡蛋羹', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '清蒸箱鸡蛋羹', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,3,,,,,,dishes/vegetable_dish/鸡蛋羹/蒸箱鸡蛋羹.md
