relationship_id,source_id,target_id,relationship_type
R_000001,201000271,630000000,801000005
R_000002,201000272,710000000,801000004
R_000003,201000272,630000000,801000005
R_000004,201000273,620000000,801000005
R_000005,201000274,630000000,801000005
R_000006,201000275,620000000,801000005
R_000007,201000276,620000000,801000005
R_000008,201000277,720000000,801000004
R_000009,201000277,630000000,801000005
R_000010,201000278,710000000,801000004
R_000011,201000278,620000000,801000005
R_000012,201000279,620000000,801000005
R_000013,201000280,710000000,801000004
R_000014,201000280,630000000,801000005
