relationship_id,source_id,target_id,relationship_type
R_000001,201000151,710000000,801000004
R_000002,201000151,630000000,801000005
R_000003,201000152,630000000,801000005
R_000004,201000153,630000000,801000005
R_000005,201000154,610000000,801000005
R_000006,201000155,710000000,801000004
R_000007,201000155,630000000,801000005
R_000008,201000156,650000000,801000005
R_000009,201000157,620000000,801000005
R_000010,201000158,620000000,801000005
R_000011,201000159,610000000,801000005
R_000012,201000160,620000000,801000005
