relationship_id,source_id,target_id,relationship_type
R_000001,201000251,710000000,801000004
R_000002,201000251,620000000,801000005
R_000003,201000252,630000000,801000005
R_000004,201000253,710000000,801000004
R_000005,201000253,620000000,801000005
R_000006,201000254,710000000,801000004
R_000007,201000254,630000000,801000005
R_000008,201000255,610000000,801000005
R_000009,201000256,710000000,801000004
R_000010,201000256,620000000,801000005
R_000011,201000257,610000000,801000005
R_000012,201000258,710000000,801000004
R_000013,201000258,620000000,801000005
R_000014,201000259,620000000,801000005
R_000015,201000260,710000000,801000004
R_000016,201000260,620000000,801000005
