relationship_id,source_id,target_id,relationship_type
R_000001,201000101,640000000,801000005
R_000002,201000102,720000000,801000004
R_000003,201000102,630000000,801000005
R_000004,201000103,720000000,801000004
R_000005,201000103,650000000,801000005
R_000006,201000104,720000000,801000004
R_000007,201000104,640000000,801000005
R_000008,201000105,720000000,801000004
R_000009,201000105,630000000,801000005
R_000010,201000106,640000000,801000005
R_000011,201000107,630000000,801000005
R_000012,201000108,640000000,801000005
R_000013,201000109,720000000,801000004
R_000014,201000109,630000000,801000005
R_000015,201000110,640000000,801000005
