concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201000101,Recipe,湘祁米夫鸭,湘祁米夫鸭 (Recipe),湘祁米夫鸭,[],其他,4,,,,,,dishes/meat_dish/湘祁米夫鸭/湘祁米夫鸭.md
201000102,Recipe,清蒸鳜鱼,清蒸鳜鱼 (Recipe),清蒸鳜鱼,"[{'term': '清steamed鳜鱼', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '清清蒸鳜鱼', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes/meat_dish/清蒸鳜鱼/清蒸鳜鱼.md
201000103,Recipe,无骨鸡爪,无骨鸡爪 (Recipe),无骨鸡爪,[],荤菜,5,,,,,,dishes/meat_dish/无骨鸡爪/无骨鸡爪.md
201000104,Recipe,干煸仔鸡,干煸仔鸡 (Recipe),干煸仔鸡,[],荤菜,4,,,,,,dishes/meat_dish/干煸仔鸡/干煸仔鸡.md
201000105,Recipe,湖南家常红烧肉,湖南家常红烧肉 (Recipe),湖南家常红烧肉,"[{'term': '湖南家常braised肉', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes/meat_dish/湖南家常红烧肉/湖南家常红烧肉.md
201000106,Recipe,柱候牛腩,柱候牛腩 (Recipe),柱候牛腩,[],其他,4,,,,,,dishes/meat_dish/柱候牛腩/柱候牛腩.md
201000107,Recipe,奶酪培根通心粉,奶酪培根通心粉 (Recipe),奶酪培根通心粉,[],其他,3,,,,,,dishes/meat_dish/奶酪培根通心粉/奶酪培根通心粉.md
201000108,Recipe,黑椒牛柳,黑椒牛柳 (Recipe),黑椒牛柳,[],其他,4,,,,,,dishes/meat_dish/黑椒牛柳/黑椒牛柳.md
201000109,Recipe,水煮牛肉,水煮牛肉 (Recipe),水煮牛肉,[],荤菜,3,,,,,,dishes/meat_dish/水煮牛肉/水煮牛肉.md
201000110,Recipe,尖叫牛蛙,尖叫牛蛙 (Recipe),尖叫牛蛙,[],其他,4,,,,,,dishes/meat_dish/尖叫牛蛙/尖叫牛蛙.md
