relationship_id,source_id,target_id,relationship_type
R_000001,201000091,720000000,801000004
R_000002,201000091,650000000,801000005
R_000003,201000092,720000000,801000004
R_000004,201000092,640000000,801000005
R_000005,201000093,640000000,801000005
R_000006,201000094,640000000,801000005
R_000007,201000095,720000000,801000004
R_000008,201000095,650000000,801000005
R_000009,201000096,650000000,801000005
R_000010,201000097,710000000,801000004
R_000011,201000097,630000000,801000005
R_000012,201000098,720000000,801000004
R_000013,201000098,640000000,801000005
R_000014,201000099,630000000,801000005
R_000015,201000100,720000000,801000004
R_000016,201000100,640000000,801000005
