relationship_id,source_id,target_id,relationship_type
R_000001,201000001,650000000,801000005
R_000002,201000002,630000000,801000005
R_000003,201000003,620000000,801000005
R_000004,201000004,610000000,801000005
R_000005,201000005,610000000,801000005
R_000006,201000006,620000000,801000005
R_000007,201000007,630000000,801000005
R_000008,201000008,610000000,801000005
R_000009,201000009,720000000,801000004
R_000010,201000009,620000000,801000005
R_000011,201000010,710000000,801000004
R_000012,201000010,630000000,801000005
