relationship_id,source_id,target_id,relationship_type
R_000001,201000281,710000000,801000004
R_000002,201000281,620000000,801000005
R_000003,201000282,710000000,801000004
R_000004,201000282,620000000,801000005
R_000005,201000283,630000000,801000005
R_000006,201000284,630000000,801000005
R_000007,201000285,620000000,801000005
R_000008,201000286,630000000,801000005
R_000009,201000287,630000000,801000005
R_000010,201000288,710000000,801000004
R_000011,201000288,620000000,801000005
R_000012,201000289,630000000,801000005
R_000013,201000290,620000000,801000005
