relationship_id,source_id,target_id,relationship_type
R_000001,201000071,630000000,801000005
R_000002,201000072,640000000,801000005
R_000003,201000073,720000000,801000004
R_000004,201000073,650000000,801000005
R_000005,201000074,640000000,801000005
R_000006,201000075,720000000,801000004
R_000007,201000075,630000000,801000005
R_000008,201000076,640000000,801000005
R_000009,201000077,720000000,801000004
R_000010,201000077,630000000,801000005
R_000011,201000078,630000000,801000005
R_000012,201000079,720000000,801000004
R_000013,201000079,640000000,801000005
R_000014,201000080,710000000,801000004
R_000015,201000080,630000000,801000005
