relationship_id,source_id,target_id,relationship_type
R_000001,201000301,710000000,801000004
R_000002,201000301,630000000,801000005
R_000003,201000302,620000000,801000005
R_000004,201000303,710000000,801000004
R_000005,201000303,620000000,801000005
R_000006,201000304,710000000,801000004
R_000007,201000304,620000000,801000005
R_000008,201000305,640000000,801000005
R_000009,201000306,610000000,801000005
R_000010,201000307,640000000,801000005
R_000011,201000308,620000000,801000005
R_000012,201000309,620000000,801000005
R_000013,201000310,640000000,801000005
