concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201000301,Recipe,包菜炒鸡蛋粉丝,包菜炒鸡蛋粉丝 (Recipe),包菜炒鸡蛋粉丝,[],素菜,3,,,,,,dishes/vegetable_dish/包菜炒鸡蛋粉丝/包菜炒鸡蛋粉丝.md
201000302,Recipe,金针菇汤,金针菇汤 (Recipe),金针菇汤,[],其他,2,,,,,,dishes/soup/金针菇汤.md
201000303,Recipe,西红柿鸡蛋汤,西红柿鸡蛋汤 (Recipe),西红柿鸡蛋汤,"[{'term': '番茄鸡蛋汤', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'tomato鸡蛋汤', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,2,,,,,,dishes/soup/西红柿鸡蛋汤.md
201000304,Recipe,紫菜蛋花汤,紫菜蛋花汤 (Recipe),紫菜蛋花汤,[],素菜,2,,,,,,dishes/soup/紫菜蛋花汤.md
201000305,Recipe,陈皮排骨汤,陈皮排骨汤 (Recipe),陈皮排骨汤,[],其他,4,,,,,,dishes/soup/陈皮排骨汤.md
201000306,Recipe,奶油蘑菇汤,奶油蘑菇汤 (Recipe),奶油蘑菇汤,[],其他,1,,,,,,dishes/soup/奶油蘑菇汤.md
201000307,Recipe,腊八粥,腊八粥 (Recipe),腊八粥,[],其他,4,,,,,,dishes/soup/腊八粥.md
201000308,Recipe,小米粥,小米粥 (Recipe),小米粥,[],其他,2,,,,,,dishes/soup/小米粥.md
201000309,Recipe,米粥,米粥 (Recipe),米粥,[],其他,2,,,,,,dishes/soup/米粥.md
201000310,Recipe,生汆丸子汤,生汆丸子汤 (Recipe),生汆丸子汤,[],其他,4,,,,,,dishes/soup/生汆丸子汤.md
