relationship_id,source_id,target_id,relationship_type
R_000001,201000231,620000000,801000005
R_000002,201000232,710000000,801000004
R_000003,201000232,620000000,801000005
R_000004,201000233,610000000,801000005
R_000005,201000234,710000000,801000004
R_000006,201000234,610000000,801000005
R_000007,201000235,710000000,801000004
R_000008,201000235,620000000,801000005
R_000009,201000236,720000000,801000004
R_000010,201000236,610000000,801000005
R_000011,201000237,710000000,801000004
R_000012,201000237,630000000,801000005
R_000013,201000238,710000000,801000004
R_000014,201000238,630000000,801000005
R_000015,201000239,640000000,801000005
R_000016,201000240,620000000,801000005
