relationship_id,source_id,target_id,relationship_type
R_000001,201000201,720000000,801000004
R_000002,201000201,620000000,801000005
R_000003,201000202,720000000,801000004
R_000004,201000202,630000000,801000005
R_000005,201000203,720000000,801000004
R_000006,201000203,620000000,801000005
R_000007,201000204,720000000,801000004
R_000008,201000204,640000000,801000005
R_000009,201000205,720000000,801000004
R_000010,201000205,640000000,801000005
R_000011,201000206,720000000,801000004
R_000012,201000206,640000000,801000005
R_000013,201000207,720000000,801000004
R_000014,201000207,630000000,801000005
R_000015,201000208,710000000,801000004
R_000016,201000208,630000000,801000005
R_000017,201000209,710000000,801000004
R_000018,201000209,630000000,801000005
R_000019,201000210,720000000,801000004
R_000020,201000210,640000000,801000005
