relationship_id,source_id,target_id,relationship_type
R_000001,201000181,720000000,801000004
R_000002,201000181,620000000,801000005
R_000003,201000182,640000000,801000005
R_000004,201000183,640000000,801000005
R_000005,201000184,620000000,801000005
R_000006,201000185,640000000,801000005
R_000007,201000186,720000000,801000004
R_000008,201000186,630000000,801000005
R_000009,201000187,720000000,801000004
R_000010,201000187,640000000,801000005
R_000011,201000188,720000000,801000004
R_000012,201000188,630000000,801000005
R_000013,201000189,630000000,801000005
R_000014,201000190,630000000,801000005
