relationship_id,source_id,target_id,relationship_type
R_000001,201000031,620000000,801000005
R_000002,201000032,710000000,801000004
R_000003,201000032,630000000,801000005
R_000004,201000033,630000000,801000005
R_000005,201000034,620000000,801000005
R_000006,201000035,640000000,801000005
R_000007,201000036,640000000,801000005
R_000008,201000037,710000000,801000004
R_000009,201000037,640000000,801000005
R_000010,201000038,630000000,801000005
R_000011,201000039,630000000,801000005
R_000012,201000040,630000000,801000005
