relationship_id,source_id,target_id,relationship_type
R_000001,201000041,640000000,801000005
R_000002,201000042,710000000,801000004
R_000003,201000042,650000000,801000005
R_000004,201000043,630000000,801000005
R_000005,201000044,630000000,801000005
R_000006,201000045,650000000,801000005
R_000007,201000046,650000000,801000005
R_000008,201000047,620000000,801000005
R_000009,201000048,710000000,801000004
R_000010,201000048,640000000,801000005
R_000011,201000049,720000000,801000004
R_000012,201000049,630000000,801000005
R_000013,201000050,650000000,801000005
