relationship_id,source_id,target_id,relationship_type
R_000001,201000311,710000000,801000004
R_000002,201000311,630000000,801000005
R_000003,201000312,710000000,801000004
R_000004,201000312,630000000,801000005
R_000005,201000313,640000000,801000005
R_000006,201000314,630000000,801000005
R_000007,201000315,640000000,801000005
R_000008,201000316,640000000,801000005
R_000009,201000317,630000000,801000005
R_000010,201000318,630000000,801000005
R_000011,201000319,610000000,801000005
R_000012,201000320,720000000,801000004
R_000013,201000320,630000000,801000005
