concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201000121,Recipe,宫保鸡丁,宫保鸡丁 (Recipe),宫保鸡丁,[],荤菜,4,,,,,,dishes/meat_dish/宫保鸡丁/宫保鸡丁.md
201000122,Recipe,简易红烧肉,简易红烧肉 (Recipe),简易红烧肉,"[{'term': '简易braised肉', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes/meat_dish/红烧肉/简易红烧肉.md
201000123,Recipe,南派红烧肉,南派红烧肉 (Recipe),南派红烧肉,"[{'term': '南派braised肉', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,4,,,,,,dishes/meat_dish/红烧肉/南派红烧肉.md
201000124,Recipe,咖喱肥牛,咖喱肥牛 (Recipe),咖喱肥牛,[],其他,4,,,,,,dishes/meat_dish/咖喱肥牛/咖喱肥牛.md
201000125,Recipe,红烧猪蹄,红烧猪蹄 (Recipe),红烧猪蹄,"[{'term': 'braised猪蹄', 'language': 'en', 'language_code': 'en-US'}]",其他,4,,,,,,dishes/meat_dish/红烧猪蹄/红烧猪蹄.md
201000126,Recipe,老式锅包肉,老式锅包肉 (Recipe),老式锅包肉,[],荤菜,4,,,,,,dishes/meat_dish/老式锅包肉/老式锅包肉.md
201000127,Recipe,香菇滑鸡,香菇滑鸡 (Recipe),香菇滑鸡,[],荤菜,3,,,,,,dishes/meat_dish/香菇滑鸡/香菇滑鸡.md
201000128,Recipe,猪皮冻,猪皮冻 (Recipe),猪皮冻,[],其他,5,,,,,,dishes/meat_dish/猪皮冻/猪皮冻.md
201000129,Recipe,醉排骨,醉排骨 (Recipe),醉排骨,[],其他,4,,,,,,dishes/meat_dish/醉排骨/醉排骨.md
201000130,Recipe,血浆鸭,血浆鸭 (Recipe),血浆鸭,[],其他,5,,,,,,dishes/meat_dish/血浆鸭/血浆鸭.md
