relationship_id,source_id,target_id,relationship_type
R_000001,201000191,710000000,801000004
R_000002,201000191,620000000,801000005
R_000003,201000192,640000000,801000005
R_000004,201000193,630000000,801000005
R_000005,201000194,720000000,801000004
R_000006,201000194,640000000,801000005
R_000007,201000195,720000000,801000004
R_000008,201000195,640000000,801000005
R_000009,201000196,720000000,801000004
R_000010,201000196,640000000,801000005
R_000011,201000197,640000000,801000005
R_000012,201000198,720000000,801000004
R_000013,201000198,640000000,801000005
R_000014,201000199,720000000,801000004
R_000015,201000199,630000000,801000005
R_000016,201000200,720000000,801000004
R_000017,201000200,640000000,801000005
