relationship_id,source_id,target_id,relationship_type
R_000001,201000081,720000000,801000004
R_000002,201000081,630000000,801000005
R_000003,201000082,640000000,801000005
R_000004,201000083,720000000,801000004
R_000005,201000083,630000000,801000005
R_000006,201000084,720000000,801000004
R_000007,201000084,640000000,801000005
R_000008,201000085,720000000,801000004
R_000009,201000085,640000000,801000005
R_000010,201000086,630000000,801000005
R_000011,201000087,720000000,801000004
R_000012,201000087,640000000,801000005
R_000013,201000088,720000000,801000004
R_000014,201000088,630000000,801000005
R_000015,201000089,720000000,801000004
R_000016,201000089,630000000,801000005
R_000017,201000090,720000000,801000004
R_000018,201000090,640000000,801000005
