relationship_id,source_id,target_id,relationship_type
R_000001,201000141,640000000,801000005
R_000002,201000142,620000000,801000005
R_000003,201000143,720000000,801000004
R_000004,201000143,630000000,801000005
R_000005,201000144,720000000,801000004
R_000006,201000144,630000000,801000005
R_000007,201000145,720000000,801000004
R_000008,201000145,630000000,801000005
R_000009,201000146,710000000,801000004
R_000010,201000146,610000000,801000005
R_000011,201000147,620000000,801000005
R_000012,201000148,630000000,801000005
R_000013,201000149,620000000,801000005
R_000014,201000150,620000000,801000005
