concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201000141,Recipe,糖醋排骨,糖醋排骨 (Recipe),糖醋排骨,"[{'term': 'sweet and sour排骨', 'language': 'en', 'language_code': 'en-US'}]",其他,4,,,,,,dishes/meat_dish/糖醋排骨/糖醋排骨.md
201000142,Recipe,荷兰豆炒腊肠,荷兰豆炒腊肠 (Recipe),荷兰豆炒腊肠,[],其他,2,,,,,,dishes/meat_dish/荷兰豆炒腊肠/荷兰豆炒腊肠.md
201000143,Recipe,香煎五花肉,香煎五花肉 (Recipe),香煎五花肉,"[{'term': '香pan-fried五花肉', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes/meat_dish/香煎五花肉/香煎五花肉.md
201000144,Recipe,小炒鸡肝,小炒鸡肝 (Recipe),小炒鸡肝,[],荤菜,3,,,,,,dishes/meat_dish/小炒鸡肝/小炒鸡肝.md
201000145,Recipe,青椒土豆炒肉,青椒土豆炒肉 (Recipe),青椒土豆炒肉,"[{'term': '青椒洋芋炒肉', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '青椒马铃薯炒肉', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'bell pepper土豆炒肉', 'language': 'en', 'language_code': 'en-US'}, {'term': '彩椒土豆炒肉', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '青椒potato炒肉', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '甜椒土豆炒肉', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes/meat_dish/青椒土豆炒肉/青椒土豆炒肉.md
201000146,Recipe,煮泡面加蛋,煮泡面加蛋 (Recipe),煮泡面加蛋,[],素菜,1,,,,,,dishes/staple/煮泡面加蛋.md
201000147,Recipe,汤面,汤面 (Recipe),汤面,[],其他,2,,,,,,dishes/staple/汤面.md
201000148,Recipe,韭菜盒子,韭菜盒子 (Recipe),韭菜盒子,[],其他,3,,,,,,dishes/staple/韭菜盒子.md
201000149,Recipe,炒方便面,炒方便面 (Recipe),炒方便面,[],其他,2,,,,,,dishes/staple/炒方便面.md
201000150,Recipe,葱油拌面,葱油拌面 (Recipe),葱油拌面,[],其他,2,,,,,,dishes/staple/葱油拌面.md
