relationship_id,source_id,target_id,relationship_type
R_000001,201000131,720000000,801000004
R_000002,201000131,630000000,801000005
R_000003,201000132,720000000,801000004
R_000004,201000132,630000000,801000005
R_000005,201000133,650000000,801000005
R_000006,201000134,630000000,801000005
R_000007,201000135,640000000,801000005
R_000008,201000136,720000000,801000004
R_000009,201000136,630000000,801000005
R_000010,201000137,720000000,801000004
R_000011,201000137,630000000,801000005
R_000012,201000138,720000000,801000004
R_000013,201000138,650000000,801000005
R_000014,201000139,640000000,801000005
R_000015,201000140,640000000,801000005
