relationship_id,source_id,target_id,relationship_type
R_000001,201000291,630000000,801000005
R_000002,201000292,710000000,801000004
R_000003,201000292,610000000,801000005
R_000004,201000293,620000000,801000005
R_000005,201000294,620000000,801000005
R_000006,201000295,630000000,801000005
R_000007,201000296,630000000,801000005
R_000008,201000297,710000000,801000004
R_000009,201000297,620000000,801000005
R_000010,201000298,620000000,801000005
R_000011,201000299,710000000,801000004
R_000012,201000299,620000000,801000005
R_000013,201000300,630000000,801000005
