relationship_id,source_id,target_id,relationship_type
R_000001,201000221,620000000,801000005
R_000002,201000222,710000000,801000004
R_000003,201000222,620000000,801000005
R_000004,201000223,710000000,801000004
R_000005,201000223,620000000,801000005
R_000006,201000224,620000000,801000005
R_000007,201000225,620000000,801000005
R_000008,201000226,710000000,801000004
R_000009,201000226,620000000,801000005
R_000010,201000227,710000000,801000004
R_000011,201000227,650000000,801000005
R_000012,201000228,710000000,801000004
R_000013,201000228,620000000,801000005
R_000014,201000229,710000000,801000004
R_000015,201000229,630000000,801000005
R_000016,201000230,610000000,801000005
