relationship_id,source_id,target_id,relationship_type
R_000001,201000211,720000000,801000004
R_000002,201000211,640000000,801000005
R_000003,201000212,720000000,801000004
R_000004,201000212,630000000,801000005
R_000005,201000213,720000000,801000004
R_000006,201000213,630000000,801000005
R_000007,201000214,720000000,801000004
R_000008,201000214,620000000,801000005
R_000009,201000215,720000000,801000004
R_000010,201000215,630000000,801000005
R_000011,201000216,630000000,801000005
R_000012,201000217,620000000,801000005
R_000013,201000218,610000000,801000005
R_000014,201000219,710000000,801000004
R_000015,201000219,630000000,801000005
R_000016,201000220,710000000,801000004
R_000017,201000220,610000000,801000005
