relationship_id,source_id,target_id,relationship_type
R_000001,201000051,720000000,801000004
R_000002,201000051,630000000,801000005
R_000003,201000052,720000000,801000004
R_000004,201000052,630000000,801000005
R_000005,201000053,720000000,801000004
R_000006,201000053,630000000,801000005
R_000007,201000054,640000000,801000005
R_000008,201000055,630000000,801000005
R_000009,201000056,720000000,801000004
R_000010,201000056,630000000,801000005
R_000011,201000057,720000000,801000004
R_000012,201000057,650000000,801000005
R_000013,201000058,720000000,801000004
R_000014,201000058,640000000,801000005
R_000015,201000059,720000000,801000004
R_000016,201000059,630000000,801000005
R_000017,201000060,720000000,801000004
R_000018,201000060,630000000,801000005
