concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201000061,Recipe,小米辣炒肉,小米辣炒肉 (Recipe),小米辣炒肉,[],荤菜,3,,,,,,dishes/meat_dish/小米辣炒肉.md
201000062,Recipe,猪肉烩酸菜,猪肉烩酸菜 (Recipe),猪肉烩酸菜,[],荤菜,5,,,,,,dishes/meat_dish/猪肉烩酸菜.md
201000063,Recipe,洋葱炒猪肉,洋葱炒猪肉 (Recipe),洋葱炒猪肉,[],荤菜,3,,,,,,dishes/meat_dish/洋葱炒猪肉.md
201000064,Recipe,鱼香肉丝,鱼香肉丝 (Recipe),鱼香肉丝,[],荤菜,4,,,,,,dishes/meat_dish/鱼香肉丝.md
201000065,Recipe,椒盐排条,椒盐排条 (Recipe),椒盐排条,[],其他,4,,,,,,dishes/meat_dish/椒盐排条.md
201000066,Recipe,萝卜炖羊排,萝卜炖羊排 (Recipe),萝卜炖羊排,"[{'term': 'radish炖羊排', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '萝卜煲羊排', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '白萝卜炖羊排', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '萝卜stewed羊排', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '胡萝卜炖羊排', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,4,,,,,,dishes/meat_dish/萝卜炖羊排.md
201000067,Recipe,带把肘子,带把肘子 (Recipe),带把肘子,[],其他,5,,,,,,dishes/meat_dish/带把肘子.md
201000068,Recipe,白菜猪肉炖粉条,白菜猪肉炖粉条 (Recipe),白菜猪肉炖粉条,"[{'term': '白菜猪肉煲粉条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '大白菜猪肉炖粉条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'cabbage猪肉炖粉条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '小白菜猪肉炖粉条', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '白菜猪肉stewed粉条', 'language': 'zh', 'language_code': 'zh-CN'}]",荤菜,3,,,,,,dishes/meat_dish/白菜猪肉炖粉条.md
201000069,Recipe,蒜苔炒肉末,蒜苔炒肉末 (Recipe),蒜苔炒肉末,[],荤菜,2,,,,,,dishes/meat_dish/蒜苔炒肉末.md
201000070,Recipe,粉蒸肉,粉蒸肉 (Recipe),粉蒸肉,"[{'term': '粉清蒸肉', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '粉steamed肉', 'language': 'en', 'language_code': 'en-US'}]",荤菜,4,,,,,,dishes/meat_dish/粉蒸肉.md
