relationship_id,source_id,target_id,relationship_type
R_000001,201000061,720000000,801000004
R_000002,201000061,630000000,801000005
R_000003,201000062,720000000,801000004
R_000004,201000062,650000000,801000005
R_000005,201000063,720000000,801000004
R_000006,201000063,630000000,801000005
R_000007,201000064,720000000,801000004
R_000008,201000064,640000000,801000005
R_000009,201000065,640000000,801000005
R_000010,201000066,640000000,801000005
R_000011,201000067,650000000,801000005
R_000012,201000068,720000000,801000004
R_000013,201000068,630000000,801000005
R_000014,201000069,720000000,801000004
R_000015,201000069,620000000,801000005
R_000016,201000070,720000000,801000004
R_000017,201000070,640000000,801000005
